iter	Passed	Remaining
685	18734	8575
686	18761	8547
687	18787	8519
688	18814	8492
689	18841	8464
690	18868	8437
691	18897	8410
692	18923	8383
693	18950	8355
694	18977	8328
695	19004	8300
696	19032	8273
697	19059	8246
698	19087	8219
699	19114	8191
700	19143	8165
701	19170	8137
702	19196	8110
703	19223	8082
704	19250	8055
705	19277	8027
706	19303	7999
707	19330	7972
708	19356	7944
709	19382	7916
710	19409	7889
711	19435	7861
712	19465	7835
713	19491	7807
714	19520	7780
715	19550	7754
716	19577	7727
717	19604	7699
718	19630	7672
719	19656	7644
720	19683	7616
721	19710	7589
722	19737	7561
723	19764	7534
724	19790	7506
725	19817	7479
726	19846	7452
727	19874	7425
728	19900	7397
729	19927	7370
730	19952	7342
731	19980	7315
732	20006	7287
733	20033	7260
734	20060	7232
735	20087	7205
736	20114	7177
737	20141	7150
738	20169	7123
739	20196	7096
740	20222	7068
741	20248	7040
742	20273	7012
743	20303	6986
744	20335	6960
745	20362	6932
746	20389	6905
747	20416	6878
748	20442	6850
749	20468	6822
750	20494	6795
751	20520	6767
752	20547	6740
753	20573	6712
754	20599	6684
755	20626	6657
756	20652	6629
757	20679	6602
758	20705	6574
759	20733	6547
760	20760	6520
761	20787	6492
762	20815	6465
763	20842	6438
764	20868	6410
765	20897	6383
766	20922	6355
767	20949	6328
768	20976	6301
769	21002	6273
770	21029	6246
771	21056	6218
772	21084	6191
773	21110	6164
774	21136	6136
775	21163	6108
776	21189	6081
777	21216	6054
778	21245	6027
779	21272	5999
780	21298	5972
781	21325	5945
782	21351	5917
783	21378	5890
784	21404	5862
785	21432	5835
786	21458	5807
787	21486	5780
788	21513	5753
789	21538	5725
790	21565	5698
791	21591	5670
792	21618	5643
793	21648	5616
794	21674	5589
795	21700	5561
796	21728	5534
797	21757	5507
798	21783	5479
799	21809	5452
800	21835	5424
801	21862	5397
802	21889	5370
803	21915	5342
804	21943	5315
805	21969	5288
806	21996	5260
807	22023	5233
808	22052	5206
809	22079	5179
810	22106	5151
811	22133	5124
812	22159	5096
813	22186	5069
814	22213	5042
815	22238	5014
816	22264	4987
817	22290	4959
818	22317	4932
819	22344	4904
820	22371	4877
821	22397	4850
822	22425	4822
823	22451	4795
824	22478	4768
825	22504	4740
826	22531	4713
827	22557	4685
828	22591	4659
829	22618	4632
830	22645	4605
831	22672	4578
832	22698	4550
833	22725	4523
834	22760	4497
835	22788	4470
836	22815	4443
837	22842	4415
838	22868	4388
839	22896	4361
840	22922	4333
841	22949	4306
842	22975	4279
843	23002	4251
844	23028	4224
845	23056	4197
846	23083	4169
847	23110	4142
848	23137	4115
849	23164	4087
850	23190	4060
851	23216	4032
852	23244	4005
853	23271	3978
854	23297	3951
855	23324	3923
856	23351	3896
857	23378	3869
858	23444	3848
859	23471	3820
860	23497	3793
861	23523	3765
862	23549	3738
863	23576	3711
864	23603	3683
865	23630	3656
866	23657	3629
867	23683	3601
868	23709	3574
869	23734	3546
870	23759	3518
871	23785	3491
872	23811	3463
873	23838	3436
874	23864	3409
875	23889	3381
876	23915	3354
877	23942	3326
878	23969	3299
879	23995	3272
880	24022	3244
881	24048	3217
882	24074	3189
883	24101	3162
884	24128	3135
885	24155	3108
886	24185	3081
887	24212	3053
888	24240	3026
889	24266	2999
890	24294	2972
891	24321	2944
892	24348	2917
893	24376	2890
894	24409	2863
895	24435	2836
896	24462	2808
897	24489	2781
898	24518	2754
899	24545	2727
900	24575	2700
901	24604	2673
902	24632	2646
903	24658	2618
904	24685	2591
905	24711	2563
906	24738	2536
907	24764	2509
908	24790	2481
909	24816	2454
910	24842	2427
911	24869	2399
912	24895	2372
913	24920	2344
914	24947	2317
915	24975	2290
916	25001	2262
917	25032	2236
918	25068	2209
919	25093	2182
920	25119	2154
921	25145	2127
922	25171	2099
923	25196	2072
924	25221	2045
925	25246	2017
926	25272	1990
927	25298	1962
928	25324	1935
929	25353	1908
930	25379	1880
931	25405	1853
932	25431	1826
933	25458	1799
934	25486	1771
935	25512	1744
936	25538	1717
937	25563	1689
938	25592	1662
939	25619	1635
940	25646	1607
941	25675	1580
942	25702	1553
943	25731	1526
944	25759	1499
945	25785	1471
946	25811	1444
947	25843	1417
948	25870	1390
949	25895	1362
950	25923	1335
951	25949	1308
952	25977	1281
953	26003	1253
954	26030	1226
955	26057	1199
956	26084	1172
957	26111	1144
958	26137	1117
959	26165	1090
960	26190	1062
961	26217	1035
962	26243	1008
963	26269	981
964	26295	953
965	26320	926
966	26347	899
967	26373	871
968	26399	844
969	26425	817
970	26453	790
971	26480	762
972	26509	735
973	26536	708
974	26563	681
975	26590	653
976	26617	626
977	26643	599
978	26670	572
979	26696	544
980	26722	517
981	26750	490
982	26776	463
983	26802	435
984	26830	408
985	26856	381
986	26884	354
987	26911	326
988	26938	299
989	26965	272
990	26992	245
991	27018	217
992	27048	190
993	27074	163
994	27100	136
995	27127	108
996	27153	81
997	27179	54
998	27205	27
999	27232	0
